return_period,return_level,ci_lower,ci_upper,ci_width,xi_hat_full,sigma_hat_full,threshold,lambda_rate,xi_boot_mean,xi_boot_std,sigma_boot_mean,sigma_boot_std,n_bootstrap,conf_level
30,14.55230864804114,13.243662136301436,15.911893990468783,2.668231854167347,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
31,14.597766599376797,13.277552740157933,15.973995929585717,2.696443189427784,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
32,14.641718233073131,13.310272206901216,16.03410934148316,2.7238371345819434,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
33,14.684258259452609,13.341895759410217,16.092397370141594,2.7505016107313764,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
34,14.725472785009188,13.372491689599986,16.149097983741616,2.7766062941416294,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
35,14.765440320730264,13.402122179287133,16.207110652448268,2.804988473161135,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
36,14.804232647171933,13.43084400346397,16.261509249145718,2.8306652456817485,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
37,14.841915560005564,13.457269551395788,16.31390936519547,2.856639813799683,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
38,14.878549515298708,13.482345168653051,16.364933975911956,2.882588807258905,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
39,14.914190190268993,13.506697845530537,16.415284993800242,2.9085871482697048,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
40,14.948888972443427,13.529096758314282,16.465528247477383,2.936431489163102,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
41,14.982693387906064,13.55066921820495,16.514564276050788,2.9638950578458374,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
42,15.01564747750415,13.57294294460384,16.562450492159286,2.989507547555446,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
43,15.047792128412674,13.595735421350279,16.609222509804372,3.0134870884540934,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
44,15.079165367259126,13.617952548777808,16.654941917877938,3.03698936910013,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
45,15.109802620028677,13.639384815634605,16.69965950534622,3.0602746897116138,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
46,15.139736943161918,13.658964527601768,16.743337409046273,3.084372881444505,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
47,15.168999229588913,13.677871373279611,16.786100630309875,3.1082292570302634,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
48,15.197618392888387,13.696331742781695,16.82796102984796,3.1316292870662643,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
49,15.225621532297534,13.71436515774726,16.865668524086445,3.151303366339185,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
50,15.253034080910439,13.731989909513398,16.90257442646259,3.170584516949191,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
