,0
532,5.27
533,6.01
534,5.23
535,6.78
536,9.58
537,5.38
538,6.49
539,4.84
540,5.19
541,4.96
542,7.28
543,4.84
544,11.07
545,5.58
546,5.02
547,4.95
548,5.05
549,6.9
550,9.46
551,5.18
552,8.56
553,6.26
554,7.68
555,6.91
556,9.8
557,7.03
558,4.83
559,6.26
560,7.73
561,5.87
562,5.7
563,4.91
564,4.9
565,5.1
566,4.88
567,8.17
568,5.83
569,5.48
570,5.95
571,5.53
572,5.84
573,4.88
574,5.9
575,5.46
576,6.0
577,10.1
578,5.63
579,4.96
580,4.86
581,4.9
582,6.25
583,5.82
584,7.32
585,5.39
586,5.28
587,5.26
588,8.43
589,6.67
590,5.13
591,5.57
592,8.3
593,5.69
594,5.02
595,6.6
596,5.33
597,8.0
598,6.58
599,8.32
600,6.1
601,5.23
602,4.97
603,7.33
604,5.26
605,5.02
606,5.5
607,5.33
608,6.24
609,7.23
610,7.65
611,6.06
612,5.5
613,8.84
614,7.65
615,4.94
616,10.64
617,4.9
618,6.57
619,5.86
620,5.44
621,5.8
622,5.76
623,5.79
624,9.16
625,9.63
626,6.77
627,4.84
628,6.61
629,9.9
630,4.8
631,8.11
632,5.8
633,5.89
634,4.97
635,8.22
636,5.35
637,6.1
638,5.9
639,4.98
640,5.17
641,4.99
642,5.49
643,5.84
644,7.15
645,5.65
646,9.58
647,5.21
648,7.56
649,6.62
650,5.13
651,6.21
652,5.95
653,5.27
654,7.33
655,6.51
656,11.59
657,15.06
658,7.09
659,8.85
660,7.08
661,7.85
662,5.01
663,6.88
664,6.09
665,5.46
666,5.41
667,5.83
668,8.09
669,5.57
670,7.04
671,7.05
672,6.35
673,5.13
674,5.42
675,5.56
676,7.53
677,8.18
678,6.29
679,6.65
680,5.01
681,9.19
682,5.83
683,7.96
684,10.19
685,6.28
686,7.62
687,4.86
688,5.45
689,4.92
690,7.98
691,5.35
692,7.26
693,5.2
694,5.89
695,8.14
696,5.89
697,6.97
698,5.57
699,8.0
700,5.3
701,5.7
702,13.53
703,5.05
704,4.87
705,9.28
706,6.23
707,4.85
708,7.15
709,7.83
710,6.52
711,6.02
712,5.2
713,5.69
714,8.09
715,7.32
716,5.36
717,8.16
718,7.97
719,8.12
720,5.83
721,11.87
722,6.89
723,4.83
724,7.1
725,5.45
726,5.33
727,6.35
728,5.46
729,7.18
730,5.03
731,11.28
732,5.79
733,5.52
734,5.51
735,5.66
736,9.37
737,6.38
738,5.02
739,5.37
740,5.98
741,5.25
742,7.03
743,7.28
744,7.47
745,8.89
746,6.28
747,6.53
748,4.88
749,6.49
750,6.02
751,7.48
752,5.86
753,5.5
754,5.92
755,6.22
756,5.04
757,4.9
758,5.08
759,4.9
760,10.51
761,8.8
762,5.2
763,6.14
764,5.0
765,5.75
766,9.22
767,6.83
768,7.51
769,5.22
770,7.73
771,6.89
772,7.56
773,10.24
774,6.44
775,4.9
776,5.98
777,7.49
778,5.78
779,5.66
780,6.98
781,6.5
782,5.11
783,6.32
784,5.6
785,5.65
786,4.98
787,4.88
788,5.94
789,9.85
790,7.7
791,5.54
792,4.83
793,6.27
794,5.55
795,9.52
796,5.85
797,5.1
798,4.99
799,7.39
800,6.52
801,6.35
802,7.22
803,6.35
804,8.51
805,10.91
806,7.81
807,7.2
808,5.57
809,6.35
810,5.12
811,5.38
812,5.49
813,5.37
814,5.44
815,4.92
816,5.65
817,6.67
818,6.23
819,5.78
820,6.62
821,8.9
822,4.96
823,8.02
824,6.33
825,5.24
826,5.16
827,4.97
828,5.32
829,6.15
830,8.19
831,7.85
832,6.54
833,5.69
834,5.06
835,7.19
836,13.64
837,5.47
838,6.19
839,5.68
840,5.03
841,4.89
842,5.97
843,5.4
844,10.8
845,5.01
846,6.88
847,7.11
848,6.38
849,8.68
850,6.77
851,8.3
852,6.31
853,6.81
854,7.82
855,5.65
856,5.01
857,5.63
858,5.28
859,6.74
860,7.43
