return_period,return_level,ci_lower,ci_upper,ci_width,xi_hat_full,mu_hat_full,sigma_hat_full,xi_boot_mean,xi_boot_std,mu_boot_mean,mu_boot_std,sigma_boot_mean,sigma_boot_std,n_bootstrap,conf_level
1,3.672276936356477,1.3870356288562227,5.2503849237724785,3.863349294916256,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
2,8.860480529978027,8.389793350843568,9.3858915967734,0.9960982459298311,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
3,9.627214216650097,9.062754236256675,10.202852710424747,1.140098474168072,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
4,10.095362544172847,9.494049483172871,10.69549867332598,1.2014491901531095,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
5,10.431016401739265,9.777594808354255,11.051775876648525,1.2741810682942702,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
6,10.691536251025418,10.000445455271523,11.34470248513343,1.3442570298619074,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
7,10.903717152005804,10.160730003127256,11.583977289719328,1.4232472865920727,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
8,11.082247657672987,10.291305738946736,11.7918567635574,1.5005510246106635,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
9,11.23604402394278,10.414705403461761,11.985678836371727,1.570973432909966,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
10,11.37091930407869,10.517638470148762,12.14658587558825,1.6289474054394883,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
11,11.490870041017804,10.616256024552854,12.294125241287626,1.6778692167347717,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
12,11.598759290048456,10.70005085718355,12.441170368033879,1.7411195108503286,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
13,11.696706622681749,10.760257217559028,12.568921348368168,1.8086641308091398,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
14,11.786323963221484,10.81801010405039,12.692865627958543,1.8748555239081526,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
15,11.86886497344989,10.86887902401445,12.80046361843275,1.9315845944182986,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
16,11.945323378753084,10.911800522715202,12.897935591729025,1.986135069013823,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
17,12.016499812180145,10.955678048469183,12.993879095750287,2.0382010472811043,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
18,12.083048527727481,10.989924999895935,13.090159126633335,2.1002341267373996,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
19,12.14551083355109,11.030854186780786,13.174791053419218,2.143936866638432,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
20,12.204339524322847,11.064606347808107,13.268829485680515,2.2042231378724075,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
21,12.259917066852672,11.097153211477414,13.349253040225095,2.2520998287476814,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
22,12.31256935870908,11.127210368332285,13.425539208867505,2.29832884053522,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
23,12.362576290478579,11.163388576485309,13.492264605014311,2.3288760285290024,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
24,12.410179961359226,11.190749151745756,13.56778037196377,2.377031220218015,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
25,12.455591145787938,11.211096474660756,13.634590524101842,2.4234940494410857,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
26,12.498994438670385,11.23341185893883,13.698488361940177,2.465076503001347,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
27,12.54055238978189,11.257193490920766,13.7600093976827,2.502815906761933,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
28,12.580408856085423,11.275080130256455,13.818859341228642,2.543779210972186,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
29,12.618691742608048,11.293177348805523,13.878311205524993,2.5851338567194695,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
30,12.655515260672086,11.317105893817084,13.937274965833929,2.6201690720168447,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
31,12.690981801749814,11.331572551216572,13.998519080933201,2.666946529716629,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
32,12.725183502672158,11.352130514565076,14.045204166407686,2.69307365184261,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
33,12.758203561097176,11.377488502371124,14.098533302615907,2.7210448002447833,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
34,12.790117347454727,11.4019899665461,14.1495486697407,2.747558703194599,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
35,12.820993349921395,11.412080041257079,14.197484310892747,2.7854042696356682,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
36,12.8508939815563,11.415646686610616,14.241787596281506,2.8261409096708903,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
37,12.879876272977151,11.429740817738168,14.292179741166754,2.862438923428586,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
38,12.907992469465043,11.44417704158556,14.341390802107485,2.8972137605219253,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
39,12.935290547854047,11.458570811494404,14.39246592794718,2.933895116452776,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
40,12.961814665763322,11.47431292935462,14.442312901020397,2.967999971665778,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
41,12.987605553498632,11.489582557254202,14.495986601417618,3.006404044163416,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
42,13.012700857160212,11.497173050973796,14.553722746098012,3.0565496951242164,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
43,13.03713544004963,11.50924137595827,14.592572548392221,3.083331172433951,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
44,13.060941648296218,11.520952621264433,14.630548398014911,3.109595776750478,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
45,13.084149545667522,11.532325209746322,14.675068060140699,3.1427428503943773,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
46,13.106787121744361,11.54337622632725,14.718660120437725,3.175283894110475,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
47,13.128880476995326,11.554336487038073,14.76136367509151,3.207027188053436,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
48,13.150453987751206,11.563679959916756,14.807140764046078,3.243460804129322,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
49,13.171530453635604,11.571998117168322,14.846522076519046,3.2745239593507236,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
50,13.192131229637493,11.57713834917496,14.88508449222111,3.3079461430461485,-0.10690188246471166,8.31052889311286,1.5300846547069065,-0.12227844166478116,0.10843674687838807,8.340532076102566,0.23779829280727743,1.508106461766498,0.17135482092929263,2000,0.95
