,0
532,5.52
533,5.15
534,5.45
535,4.53
536,4.2
537,4.08
538,5.97
539,4.63
540,7.95
541,4.12
542,5.9
543,5.0
544,4.77
545,4.58
546,4.91
547,5.62
548,7.4
549,5.23
550,5.76
551,5.03
552,5.72
553,6.38
554,8.72
555,5.44
556,4.22
557,4.15
558,8.39
559,5.52
560,4.94
561,5.09
562,4.07
563,5.21
564,5.43
565,4.87
566,4.37
567,5.89
568,5.33
569,6.53
570,4.63
571,6.32
572,4.33
573,4.45
574,5.4
575,4.13
576,4.03
577,4.81
578,4.1
579,7.01
580,4.5
581,8.73
582,4.85
583,4.01
584,4.31
585,8.63
586,5.15
587,4.14
588,7.38
589,4.49
590,6.85
591,6.67
592,5.8
593,10.23
594,5.32
595,5.93
596,5.34
597,4.28
598,4.03
599,4.13
600,4.34
601,4.3
602,7.72
603,4.28
604,4.3
605,4.55
606,4.24
607,4.95
608,7.03
609,4.31
610,5.54
611,6.41
612,6.59
613,4.64
614,4.26
615,4.27
616,4.56
617,5.54
618,5.75
619,5.15
620,5.27
621,5.8
622,4.43
623,4.82
624,5.46
625,5.33
626,6.87
627,5.14
628,8.52
629,4.61
630,4.16
631,5.17
632,4.35
633,5.53
634,6.28
635,4.94
636,4.08
637,7.05
638,4.62
639,4.95
640,4.49
641,8.74
642,6.01
643,5.19
644,5.67
645,4.01
646,6.62
647,5.36
648,9.54
649,5.49
650,4.3
651,4.12
652,7.95
653,6.62
654,5.0
655,4.52
656,4.46
657,4.37
658,4.03
659,4.58
660,4.01
661,8.76
662,5.08
663,5.26
664,4.9
665,5.04
666,7.83
667,6.65
668,5.13
669,4.53
670,4.15
671,4.37
672,4.14
673,4.5
674,4.46
675,5.94
676,4.21
677,4.37
678,4.6
679,5.39
680,5.26
681,4.37
682,4.01
683,4.77
684,4.03
685,4.55
686,4.18
687,4.85
688,4.84
689,5.17
690,6.39
691,4.11
692,5.09
693,9.92
694,4.04
695,4.79
696,5.6
697,4.33
698,4.87
699,5.77
700,5.75
701,4.88
702,5.01
703,9.33
704,6.42
705,6.3
706,12.78
707,4.54
708,5.97
709,6.69
710,5.23
711,4.9
712,5.4
713,8.23
714,5.84
715,4.39
716,6.4
717,4.16
718,6.69
719,4.58
720,4.58
721,4.1
722,4.16
723,5.02
724,4.33
725,4.38
726,4.59
727,7.25
728,6.23
729,5.07
730,4.81
731,4.94
732,4.1
733,5.32
734,4.05
735,4.86
736,4.22
737,5.22
738,6.1
739,6.32
740,5.83
741,9.98
742,5.15
743,7.54
744,4.12
745,6.5
746,5.68
747,4.9
748,4.92
749,5.53
750,6.72
751,4.55
752,5.78
753,6.68
754,6.42
755,4.89
756,6.0
757,6.54
758,4.46
759,4.68
760,6.68
761,11.12
762,4.68
763,4.9
764,7.06
765,4.67
766,5.57
767,7.42
768,4.34
769,4.14
770,5.58
771,4.52
772,5.25
773,4.44
774,6.18
775,6.3
776,5.5
777,5.34
778,6.4
779,6.51
780,6.19
781,7.39
782,4.84
783,4.17
784,13.62
785,5.23
786,6.29
787,5.23
788,5.68
789,6.68
790,5.04
791,5.44
792,4.92
793,4.47
794,5.6
795,4.12
796,4.27
797,11.6
798,5.34
799,8.68
800,6.76
801,6.17
802,4.04
