time,hs
1970-12-31,7.758306008939805
1971-12-31,7.748291935050033
1972-12-31,10.24776522878302
1973-12-31,10.434465674919329
1974-12-31,8.058338755084996
1975-12-31,10.454105521095084
1976-12-31,10.139573504387071
1977-12-31,8.1881236802598
1978-12-31,10.689596035934494
1979-12-31,10.738613428078445
1980-12-31,9.666563413376856
1981-12-31,9.63695047684464
1982-12-31,7.968407251707866
1983-12-31,10.25759710712482
1984-12-31,7.778331610022126
1985-12-31,7.587950221990599
1986-12-31,7.788343139688691
1987-12-31,8.297836118056512
1988-12-31,12.406627128094446
1989-12-31,10.00176502933038
1990-12-31,9.281122663291026
1991-12-31,10.679790787116934
1992-12-31,13.384807114902369
1993-12-31,13.384807114902369
1994-12-31,9.112782788031655
1995-12-31,9.271225905706675
1996-12-31,6.032374237734931
1997-12-31,9.656693097785404
1998-12-31,9.30091409899426
1999-12-31,9.25143030688908
2000-12-31,11.481910727683283
2001-12-31,8.437332567308916
2002-12-31,9.20192911590787
2003-12-31,8.874777146433424
2004-12-31,9.211830751081177
2005-12-31,10.689596035934494
2006-12-31,7.357066980853486
2007-12-31,9.2217316869141
2008-12-31,10.011612610563306
2009-12-31,7.135775841866903
2010-12-31,6.873665993506966
2011-12-31,13.172150287029485
2012-12-31,8.715874051875199
2013-12-31,10.44428590139458
2014-12-31,7.206234930665714
2015-12-31,11.559965266459455
2016-12-31,13.98293192484857
2017-12-31,10.905163066478444
2018-12-31,7.64810420900482
2019-12-31,10.75821626499052
2020-12-31,8.566729361540958
2021-12-31,7.728261234364386
2022-12-31,10.59151685055128
2023-12-31,9.033493486451691
2024-12-31,9.518438713118025
