,0
0,5.784701226773919
1,6.00754006737364
2,10.994970771690856
3,5.65741148399747
4,6.878607010242229
5,8.70993523234208
6,6.241098414237367
7,6.113689477850796
8,5.880190998376562
9,5.085051440198569
10,7.1019089823475525
11,5.75287555881013
12,5.3075471308936
13,5.614989291968741
14,6.092457784940392
15,9.808932300726523
16,5.053275912829012
17,7.059368587476234
18,5.328743207065269
19,6.846713878341354
20,6.1349220700224665
21,5.604384353527064
22,6.527883594061585
23,7.591342480998329
24,5.032093580653573
25,5.604384353527064
26,5.265158079430264
27,5.487746282978558
28,5.646805571146218
29,5.138016026863038
30,5.487746282978558
31,7.421059779849793
32,7.878799685961422
33,10.41777306841598
34,6.836083236570772
35,5.912025140547417
36,5.625594474685069
37,5.880190998376562
38,6.496010858888699
39,8.379490864433622
40,7.633920477134158
41,6.740416569881769
42,7.772318886771302
43,7.985298038819437
44,7.197636206472924
45,6.782933057954695
46,7.1019089823475525
47,5.212177621178739
48,5.138016026863038
49,15.100018767877676
50,5.169797979673494
51,9.125872207485662
52,5.858969403849517
53,6.836083236570772
54,8.31555205139532
55,6.8254527964065765
56,5.381737887509045
57,5.053275912829012
58,7.633920477134158
59,5.032093580653573
60,6.12430566171924
61,5.233369020079787
62,5.296949479661445
63,5.890802146126538
64,8.827226753264005
65,6.602260675008489
66,6.570383525167832
67,5.890802146126538
68,5.032093580653573
69,6.634139701978941
70,7.155088844259529
71,7.229548742170213
72,7.676501369648357
73,7.186999077646338
74,8.038553726250171
75,6.687275561130101
76,5.975699685914348
77,5.721052037904071
78,8.347520711322458
79,5.318145040195459
80,7.1019089823475525
81,8.304896164205227
82,7.421059779849793
83,5.996926377670649
84,10.73839164756616
85,6.06061193838327
86,8.283584890252772
87,5.8165290302702095
88,5.169797979673494
89,7.452984189406868
90,5.858969403849517
91,5.837748746705998
92,5.986312917052127
93,6.06061193838327
94,6.315434987435978
95,5.763483876807812
96,5.986312917052127
97,5.721052037904071
98,6.40040413261776
99,5.074459327930394
100,8.358177263392129
101,5.943861373368524
102,5.689230675706837
103,10.407087834435194
104,5.93324906414381
105,8.592662971611773
106,11.508346539248729
107,8.70993523234208
108,8.422120048379606
109,6.2517172665942775
110,7.378496506880074
111,11.133981736673228
112,8.283584890252772
113,5.032093580653573
114,6.8254527964065765
115,5.7422674793733846
116,5.986312917052127
117,6.113689477850796
118,6.453516846806599
119,5.837748746705998
120,5.021502822051377
121,5.402937545318591
122,7.378496506880074
123,6.846713878341354
124,5.053275912829012
125,5.7953102578901845
126,6.910501945661967
127,6.634139701978941
128,5.636199901226765
129,5.413537754901914
130,5.063867485290475
131,7.687147043495562
132,9.73419358807718
133,5.010912335851215
134,8.784573078560095
135,5.65741148399747
136,7.070003393835679
137,5.540759878015685
138,7.484910266749872
139,8.784573078560095
140,6.50663489249921
141,6.591634749387947
142,5.2015823154815415
143,5.190987272981866
144,11.305101189512271
145,5.063867485290475
146,7.27210146102082
147,6.793562688620509
148,6.931766233883124
149,6.740416569881769
150,6.549133139174563
151,8.859218659567578
152,6.644766459918872
153,5.721052037904071
154,6.602260675008489
155,7.346576016145686
156,6.294194872100755
157,5.445339900557406
158,6.570383525167832
159,8.50738629817866
160,9.392620823907524
161,7.474268056088943
162,14.712122148146875
163,7.12318034636827
164,5.8483589578976085
165,8.901876725533521
166,7.644565429342474
167,6.42164857576628
168,5.604384353527064
169,5.3075471308936
170,6.294194872100755
171,5.074459327930394
172,5.402937545318591
173,5.4665425902788
174,6.4428938760774725
175,8.5713428315913
176,10.161364653929724
177,8.869882941686827
178,10.759770410231711
179,5.349940311511555
180,5.042684611098465
181,8.7525844793186
182,7.048733976499565
183,7.86815081230536
184,5.583175211273127
185,6.878607010242229
186,5.010912335851215
187,9.253899844582437
188,7.495552661948738
189,5.805919525863036
190,7.261462995922052
191,8.848554534001249
192,7.0274653418457
193,5.328743207065269
194,8.63530518557089
195,7.261462995922052
196,5.93324906414381
197,5.14860974547161
198,6.028768132454997
199,6.474763427696717
200,5.106236471430124
201,5.032093580653573
202,7.186999077646338
203,6.00754006737364
204,6.867975765481064
205,7.814909085133532
206,7.44234253390054
207,7.665855875844567
208,5.614989291968741
209,5.668017639336171
210,7.878799685961422
211,5.021502822051377
212,7.431701063961792
213,12.460961629898827
214,8.48606875452608
215,8.198346497646334
216,7.900097959636796
217,8.21965508693522
218,5.190987272981866
219,6.772303630436343
220,6.910501945661967
221,5.15920372991929
222,8.027902243616087
223,10.054550986208517
224,7.186999077646338
225,7.846853592516046
226,5.296949479661445
227,6.50663489249921
228,6.942398676479152
229,8.624644390827333
230,8.645966140826067
231,7.719085142866065
232,5.424138217624287
233,5.33934163100325
234,8.48606875452608
235,6.357917828929306
236,5.413537754901914
237,5.93324906414381
238,5.784701226773919
239,5.869580084146938
240,7.378496506880074
241,6.623513151630459
242,5.243965112245887
243,5.265158079430264
244,5.265158079430264
245,6.039382507047707
246,7.697792897142389
247,7.293378960361541
248,5.318145040195459
249,9.606086390268754
250,5.477144311493374
251,9.595411727074197
252,6.018153985766264
253,7.942696605991699
254,7.314657216760317
255,6.262336338922394
256,5.4665425902788
257,6.708531348910851
258,5.138016026863038
259,5.922636986401885
260,5.912025140547417
261,8.965868495509751
262,7.048733976499565
263,6.368539081151563
264,5.805919525863036
265,5.169797979673494
266,5.477144311493374
267,7.95334670353586
268,5.699837555858264
269,5.508950974875674
270,5.95447391367283
271,7.921396933592572
272,5.583175211273127
273,5.032093580653573
274,6.612886809198333
275,5.4665425902788
276,5.095643821547048
277,5.2015823154815415
278,5.169797979673494
279,5.063867485290475
280,7.527480952219798
281,5.75287555881013
282,8.454093664043938
283,8.901876725533521
284,8.390147912994637
285,5.508950974875674
286,8.32620810511671
287,5.413537754901914
288,7.006197492185052
289,10.770459985838912
290,6.899870100633926
291,5.33934163100325
292,5.487746282978558
293,6.1349220700224665
294,6.039382507047707
295,8.006599795622474
296,15.100018767877676
297,7.208273527019652
298,5.010912335851215
299,9.638111247235674
300,5.689230675706837
301,13.778948526246548
302,11.626034961241997
303,11.45485664487709
304,6.00754006737364
305,5.222773189551458
306,5.614989291968741
307,5.127422574628299
308,5.021502822051377
309,7.655210562327638
310,5.763483876807812
311,6.8254527964065765
312,7.612631116032485
313,10.054550986208517
314,5.721052037904071
315,5.2757549534230765
316,5.2015823154815415
317,5.593779659810984
318,8.059857207678371
319,7.314657216760317
320,8.837890565172547
321,6.092457784940392
322,6.3791605494075005
323,7.080638395291134
324,12.214692236402264
325,10.513946173021472
326,8.294240443754305
327,8.240964349931438
328,5.127422574628299
329,5.116829389304299
330,6.10307351879734
331,6.517259137669
332,5.360539248094292
333,5.413537754901914
334,7.655210562327638
335,6.453516846806599
336,7.1019089823475525
337,8.923206694174384
338,5.508950974875674
339,6.814822558155143
340,5.699837555858264
341,7.484910266749872
342,5.890802146126538
343,8.923206694174384
344,9.744870119819891
345,6.156155558418905
346,5.106236471430124
347,5.254561465533961
348,6.517259137669
349,11.31579720952032
350,7.186999077646338
351,6.8254527964065765
352,5.593779659810984
353,5.33934163100325
354,5.625594474685069
355,9.61676119813559
356,15.100018767877676
357,7.793613631145693
358,6.156155558418905
359,5.530156662217712
360,5.2757549534230765
361,7.548767397089112
362,6.666020597278454
363,9.232560396778103
364,6.294194872100755
365,7.399777770146797
366,5.668017639336171
367,5.14860974547161
368,6.527883594061585
