return_period,return_level,ci_lower,ci_upper,ci_width,xi_hat_full,mu_hat_full,sigma_hat_full,xi_boot_mean,xi_boot_std,mu_boot_mean,mu_boot_std,sigma_boot_mean,sigma_boot_std,n_bootstrap,conf_level
1,4.970012795510253,2.624040862206402,6.596881033014513,3.9728401708081105,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
2,10.57851627111854,10.049723757974306,11.162017637417923,1.1122938794436177,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
3,11.477644572629565,10.851808156028618,12.101298202714013,1.2494900466853949,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
4,12.037529200395637,11.338583300913992,12.684771392758009,1.3461880918440166,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
5,12.444343894504671,11.68569207725747,13.133253584050523,1.447561506793054,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
6,12.763325129529575,11.94407137103367,13.479583107731164,1.5355117366974937,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
7,13.025272346377132,12.16184195608564,13.789655752075978,1.6278137959903383,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
8,13.247212803799362,12.33385927423584,14.041263847052516,1.7074045728166762,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
9,13.43955574074427,12.480477033967503,14.282439796516485,1.8019627625489818,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
10,13.609128960852114,12.597195305968427,14.5024024328272,1.9052071268587731,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
11,13.760651778423227,12.708685564396353,14.69989081841273,1.9912052540163767,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
12,13.89752115451692,12.806180421442521,14.892321110911759,2.0861406894692376,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
13,14.02226274272374,12.895641135996607,15.061184893888088,2.1655437578914807,-0.062311747232565606,9.946422030320164,1.7443849363038806,-0.07649513070315432,0.10934469772589492,9.965626057840918,0.25922963290489837,1.7045763721675653,0.18652399967129724,2000,0.95
