time,hs
1970-12-31,9.808932300726523
1971-12-31,10.41777306841598
1972-12-31,15.100018767877676
1973-12-31,8.933871911773092
1974-12-31,8.347520711322458
1975-12-31,11.508346539248729
1976-12-31,11.133981736673228
1977-12-31,9.73419358807718
1978-12-31,11.305101189512271
1979-12-31,14.712122148146875
1980-12-31,10.161364653929724
1981-12-31,10.759770410231711
1982-12-31,8.63530518557089
1983-12-31,12.460961629898827
1984-12-31,8.645966140826067
1985-12-31,9.606086390268754
1986-12-31,8.965868495509751
1987-12-31,8.901876725533521
1988-12-31,15.100018767877676
1989-12-31,13.778948526246548
1990-12-31,12.214692236402264
1991-12-31,11.31579720952032
1992-12-31,15.100018767877676
1993-12-31,12.08622781761778
1994-12-31,9.680813074570484
1995-12-31,8.7525844793186
1996-12-31,7.538124083021011
1997-12-31,12.718001667280143
1998-12-31,12.825120454421178
1999-12-31,10.19341143118804
2000-12-31,11.35858252042578
2001-12-31,11.176758612139064
2002-12-31,8.240964349931438
2003-12-31,11.925670731532533
2004-12-31,11.700935168208908
2005-12-31,10.34297924481606
2006-12-31,10.663570072648332
2007-12-31,8.763247187569421
2008-12-31,11.240927666880111
2009-12-31,8.656627256400697
2010-12-31,7.516838004938282
2011-12-31,15.100018767877676
2012-12-31,9.32859262920202
2013-12-31,10.759770410231711
2014-12-31,8.5713428315913
2015-12-31,14.336618283902046
2016-12-31,12.557344133408948
2017-12-31,9.883677959060378
2018-12-31,7.86815081230536
2019-12-31,11.10190039464726
2020-12-31,10.813219580948326
2021-12-31,10.0438703780976
2022-12-31,11.529743346763452
2023-12-31,9.381949087475798
2024-12-31,14.4546225349248
